model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_20_HOM,full,contains_new,1,0.000705,133300
gpt_recipe_20_HOM,full,contains_new,2,0.000675,133300
gpt_recipe_20_HOM,full,contains_new,3,0.000653,133300
gpt_recipe_20_HOM,full,contains_new,mean,0.000678,
gpt_recipe_20_HOM,full,no_new,1,0.000384,2349588
gpt_recipe_20_HOM,full,no_new,2,0.000345,2349588
gpt_recipe_20_HOM,full,no_new,3,0.000312,2349588
gpt_recipe_20_HOM,full,no_new,mean,0.000347,
gpt_recipe_20_HOM_HALF,half,contains_new,1,0.000813,129209
gpt_recipe_20_HOM_HALF,half,contains_new,2,0.000642,129209
gpt_recipe_20_HOM_HALF,half,contains_new,3,0.000851,129209
gpt_recipe_20_HOM_HALF,half,contains_new,mean,0.000769,
gpt_recipe_20_HOM_HALF,half,no_new,1,0.000421,2349588
gpt_recipe_20_HOM_HALF,half,no_new,2,0.000332,2349588
gpt_recipe_20_HOM_HALF,half,no_new,3,0.000475,2349588
gpt_recipe_20_HOM_HALF,half,no_new,mean,0.000410,
gpt_recipe_base,base,contains_new,1,0.001047,125126
gpt_recipe_base,base,contains_new,2,0.000911,125126
gpt_recipe_base,base,contains_new,3,0.000671,125126
gpt_recipe_base,base,contains_new,mean,0.000876,
gpt_recipe_base,base,no_new,1,0.000481,2349588
gpt_recipe_base,base,no_new,2,0.000375,2349588
gpt_recipe_base,base,no_new,3,0.000328,2349588
gpt_recipe_base,base,no_new,mean,0.000394,
