word,ambiguity_type,model,nbhd_mean_distance
lifelong,M,word2vec_tiny_1_HOM_HALF,0.38204262
pirate,P,word2vec_tiny_1_HOM_HALF,0.4378624
gasoline,M,word2vec_tiny_1_HOM_HALF,0.3733754
gopher,P,word2vec_tiny_1_HOM_HALF,0.35322914
substance,P,word2vec_tiny_1_HOM_HALF,0.33338428
strap,P,word2vec_tiny_1_HOM_HALF,0.44436607
pitch,H,word2vec_tiny_1_HOM_HALF,0.4790493
countdown,P,word2vec_tiny_1_HOM_HALF,0.3158983
pink,H,word2vec_tiny_1_HOM_HALF,0.4504453
perky,M,word2vec_tiny_1_HOM_HALF,0.38046074
fearless,M,word2vec_tiny_1_HOM_HALF,0.3483605
lotion,P,word2vec_tiny_1_HOM_HALF,0.45578766
annoy,P,word2vec_tiny_1_HOM_HALF,0.38755277
hoop,P,word2vec_tiny_1_HOM_HALF,0.4444271
doorman,M,word2vec_tiny_1_HOM_HALF,0.2842255
cookie,P,word2vec_tiny_1_HOM_HALF,0.3840549
romantic,P,word2vec_tiny_1_HOM_HALF,0.23923303
square,P,word2vec_tiny_1_HOM_HALF,0.47936857
vibration,P,word2vec_tiny_1_HOM_HALF,0.33258092
spacious,P,word2vec_tiny_1_HOM_HALF,0.38847893
toilet,P,word2vec_tiny_1_HOM_HALF,0.4709297
accompany,P,word2vec_tiny_1_HOM_HALF,0.31369007
wildlife,M,word2vec_tiny_1_HOM_HALF,0.3622751
speech,P,word2vec_tiny_1_HOM_HALF,0.36455363
household,P,word2vec_tiny_1_HOM_HALF,0.26732373
lend,P,word2vec_tiny_1_HOM_HALF,0.5273473
attack,P,word2vec_tiny_1_HOM_HALF,0.44549003
cone,P,word2vec_tiny_1_HOM_HALF,0.447095
rope,P,word2vec_tiny_1_HOM_HALF,0.4337717
agreement,P,word2vec_tiny_1_HOM_HALF,0.46219912
unable,M,word2vec_tiny_1_HOM_HALF,0.4188555
rainy,M,word2vec_tiny_1_HOM_HALF,0.50632244
gracious,P,word2vec_tiny_1_HOM_HALF,0.2665423
hind,H,word2vec_tiny_1_HOM_HALF,0.4593317
park,P,word2vec_tiny_1_HOM_HALF,0.52798766
detector,P,word2vec_tiny_1_HOM_HALF,0.36063033
distance,P,word2vec_tiny_1_HOM_HALF,0.44469926
eager,M,word2vec_tiny_1_HOM_HALF,0.5461578
drum,P,word2vec_tiny_1_HOM_HALF,0.40026173
accident,P,word2vec_tiny_1_HOM_HALF,0.570334
moon,P,word2vec_tiny_1_HOM_HALF,0.4339375
