model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_20_HYP,full,contains_new,1,0.000397,383318
gpt_recipe_20_HYP,full,contains_new,2,0.000472,383318
gpt_recipe_20_HYP,full,contains_new,3,0.000373,383318
gpt_recipe_20_HYP,full,contains_new,mean,0.000414,
gpt_recipe_20_HYP,full,no_new,1,0.000455,2117084
gpt_recipe_20_HYP,full,no_new,2,0.000438,2117084
gpt_recipe_20_HYP,full,no_new,3,0.000409,2117084
gpt_recipe_20_HYP,full,no_new,mean,0.000434,
gpt_recipe_20_HYP_HALF,half,contains_new,1,0.000402,370485
gpt_recipe_20_HYP_HALF,half,contains_new,2,0.000413,370485
gpt_recipe_20_HYP_HALF,half,contains_new,3,0.000426,370485
gpt_recipe_20_HYP_HALF,half,contains_new,mean,0.000414,
gpt_recipe_20_HYP_HALF,half,no_new,1,0.000410,2117084
gpt_recipe_20_HYP_HALF,half,no_new,2,0.000410,2117084
gpt_recipe_20_HYP_HALF,half,no_new,3,0.000425,2117084
gpt_recipe_20_HYP_HALF,half,no_new,mean,0.000415,
gpt_recipe_base,base,contains_new,1,0.000853,357630
gpt_recipe_base,base,contains_new,2,0.000411,357630
gpt_recipe_base,base,contains_new,3,0.000366,357630
gpt_recipe_base,base,contains_new,mean,0.000543,
gpt_recipe_base,base,no_new,1,0.000498,2117084
gpt_recipe_base,base,no_new,2,0.000417,2117084
gpt_recipe_base,base,no_new,3,0.000360,2117084
gpt_recipe_base,base,no_new,mean,0.000425,
