model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_30_HYP,full,contains_new,1,0.003541,163245
gpt_tiny_30_HYP,full,contains_new,2,0.002953,163245
gpt_tiny_30_HYP,full,contains_new,3,0.002848,163245
gpt_tiny_30_HYP,full,contains_new,mean,0.003114,
gpt_tiny_30_HYP,full,no_new,1,0.003804,4745804
gpt_tiny_30_HYP,full,no_new,2,0.003485,4745804
gpt_tiny_30_HYP,full,no_new,3,0.003136,4745804
gpt_tiny_30_HYP,full,no_new,mean,0.003475,
gpt_tiny_30_HYP_HALF,half,contains_new,1,0.003736,154990
gpt_tiny_30_HYP_HALF,half,contains_new,2,0.004065,154990
gpt_tiny_30_HYP_HALF,half,contains_new,3,0.003878,154990
gpt_tiny_30_HYP_HALF,half,contains_new,mean,0.003893,
gpt_tiny_30_HYP_HALF,half,no_new,1,0.003953,4745804
gpt_tiny_30_HYP_HALF,half,no_new,2,0.004261,4745804
gpt_tiny_30_HYP_HALF,half,no_new,3,0.003865,4745804
gpt_tiny_30_HYP_HALF,half,no_new,mean,0.004026,
gpt_tiny_base,base,contains_new,1,0.003545,146699
gpt_tiny_base,base,contains_new,2,0.009250,146699
gpt_tiny_base,base,contains_new,3,0.003449,146699
gpt_tiny_base,base,contains_new,mean,0.005415,
gpt_tiny_base,base,no_new,1,0.003745,4745804
gpt_tiny_base,base,no_new,2,0.007517,4745804
gpt_tiny_base,base,no_new,3,0.003476,4745804
gpt_tiny_base,base,no_new,mean,0.004913,
