model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_40_HOM,full,contains_new,1,0.003156,252511
gpt_tiny_40_HOM,full,contains_new,2,0.002748,252511
gpt_tiny_40_HOM,full,contains_new,3,0.003576,252511
gpt_tiny_40_HOM,full,contains_new,mean,0.003160,
gpt_tiny_40_HOM,full,no_new,1,0.004006,4663426
gpt_tiny_40_HOM,full,no_new,2,0.003472,4663426
gpt_tiny_40_HOM,full,no_new,3,0.004319,4663426
gpt_tiny_40_HOM,full,no_new,mean,0.003933,
gpt_tiny_40_HOM_HALF,half,contains_new,1,0.003957,240817
gpt_tiny_40_HOM_HALF,half,contains_new,2,0.004422,240817
gpt_tiny_40_HOM_HALF,half,contains_new,3,0.002936,240817
gpt_tiny_40_HOM_HALF,half,contains_new,mean,0.003772,
gpt_tiny_40_HOM_HALF,half,no_new,1,0.004458,4663426
gpt_tiny_40_HOM_HALF,half,no_new,2,0.005363,4663426
gpt_tiny_40_HOM_HALF,half,no_new,3,0.003528,4663426
gpt_tiny_40_HOM_HALF,half,no_new,mean,0.004450,
gpt_tiny_base,base,contains_new,1,0.003191,229077
gpt_tiny_base,base,contains_new,2,0.008451,229077
gpt_tiny_base,base,contains_new,3,0.002968,229077
gpt_tiny_base,base,contains_new,mean,0.004870,
gpt_tiny_base,base,no_new,1,0.003804,4663426
gpt_tiny_base,base,no_new,2,0.007506,4663426
gpt_tiny_base,base,no_new,3,0.003535,4663426
gpt_tiny_base,base,no_new,mean,0.004948,
