model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_10_HYP,full,contains_new,1,0.003766,51252
gpt_tiny_10_HYP,full,contains_new,2,0.003024,51252
gpt_tiny_10_HYP,full,contains_new,3,0.003122,51252
gpt_tiny_10_HYP,full,contains_new,mean,0.003304,
gpt_tiny_10_HYP,full,no_new,1,0.005250,4846467
gpt_tiny_10_HYP,full,no_new,2,0.003612,4846467
gpt_tiny_10_HYP,full,no_new,3,0.004380,4846467
gpt_tiny_10_HYP,full,no_new,mean,0.004414,
gpt_tiny_10_HYP_HALF,half,contains_new,1,0.002816,48651
gpt_tiny_10_HYP_HALF,half,contains_new,2,0.003638,48651
gpt_tiny_10_HYP_HALF,half,contains_new,3,0.003165,48651
gpt_tiny_10_HYP_HALF,half,contains_new,mean,0.003207,
gpt_tiny_10_HYP_HALF,half,no_new,1,0.003810,4846467
gpt_tiny_10_HYP_HALF,half,no_new,2,0.004325,4846467
gpt_tiny_10_HYP_HALF,half,no_new,3,0.003949,4846467
gpt_tiny_10_HYP_HALF,half,no_new,mean,0.004028,
gpt_tiny_base,base,contains_new,1,0.002954,46036
gpt_tiny_base,base,contains_new,2,0.007646,46036
gpt_tiny_base,base,contains_new,3,0.002998,46036
gpt_tiny_base,base,contains_new,mean,0.004533,
gpt_tiny_base,base,no_new,1,0.003759,4846467
gpt_tiny_base,base,no_new,2,0.007565,4846467
gpt_tiny_base,base,no_new,3,0.003508,4846467
gpt_tiny_base,base,no_new,mean,0.004944,
