model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_10_HOM,full,contains_new,1,0.001076,54834
gpt_recipe_10_HOM,full,contains_new,2,0.001240,54834
gpt_recipe_10_HOM,full,contains_new,3,0.001313,54834
gpt_recipe_10_HOM,full,contains_new,mean,0.001210,
gpt_recipe_10_HOM,full,no_new,1,0.000370,2421722
gpt_recipe_10_HOM,full,no_new,2,0.000416,2421722
gpt_recipe_10_HOM,full,no_new,3,0.000363,2421722
gpt_recipe_10_HOM,full,no_new,mean,0.000383,
gpt_recipe_10_HOM_HALF,half,contains_new,1,0.001428,53907
gpt_recipe_10_HOM_HALF,half,contains_new,2,0.001280,53907
gpt_recipe_10_HOM_HALF,half,contains_new,3,0.001224,53907
gpt_recipe_10_HOM_HALF,half,contains_new,mean,0.001311,
gpt_recipe_10_HOM_HALF,half,no_new,1,0.000431,2421722
gpt_recipe_10_HOM_HALF,half,no_new,2,0.000413,2421722
gpt_recipe_10_HOM_HALF,half,no_new,3,0.000358,2421722
gpt_recipe_10_HOM_HALF,half,no_new,mean,0.000401,
gpt_recipe_base,base,contains_new,1,0.001566,52992
gpt_recipe_base,base,contains_new,2,0.001415,52992
gpt_recipe_base,base,contains_new,3,0.001132,52992
gpt_recipe_base,base,contains_new,mean,0.001371,
gpt_recipe_base,base,no_new,1,0.000496,2421722
gpt_recipe_base,base,no_new,2,0.000392,2421722
gpt_recipe_base,base,no_new,3,0.000327,2421722
gpt_recipe_base,base,no_new,mean,0.000405,
