model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_1_HOM,full,contains_new,1,0.002749,2183
gpt_tiny_1_HOM,full,contains_new,2,0.007787,2183
gpt_tiny_1_HOM,full,contains_new,3,0.005039,2183
gpt_tiny_1_HOM,full,contains_new,mean,0.005192,
gpt_tiny_1_HOM,full,no_new,1,0.003697,4890338
gpt_tiny_1_HOM,full,no_new,2,0.005548,4890338
gpt_tiny_1_HOM,full,no_new,3,0.004381,4890338
gpt_tiny_1_HOM,full,no_new,mean,0.004542,
gpt_tiny_1_HOM_HALF,half,contains_new,1,0.002298,2176
gpt_tiny_1_HOM_HALF,half,contains_new,2,0.005974,2176
gpt_tiny_1_HOM_HALF,half,contains_new,3,0.003217,2176
gpt_tiny_1_HOM_HALF,half,contains_new,mean,0.003830,
gpt_tiny_1_HOM_HALF,half,no_new,1,0.003189,4890338
gpt_tiny_1_HOM_HALF,half,no_new,2,0.005378,4890338
gpt_tiny_1_HOM_HALF,half,no_new,3,0.003887,4890338
gpt_tiny_1_HOM_HALF,half,no_new,mean,0.004151,
gpt_tiny_base,base,contains_new,1,0.004157,2165
gpt_tiny_base,base,contains_new,2,0.011547,2165
gpt_tiny_base,base,contains_new,3,0.005081,2165
gpt_tiny_base,base,contains_new,mean,0.006928,
gpt_tiny_base,base,no_new,1,0.003763,4890338
gpt_tiny_base,base,no_new,2,0.007548,4890338
gpt_tiny_base,base,no_new,3,0.003499,4890338
gpt_tiny_base,base,no_new,mean,0.004937,
