model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_40_HOM,full,contains_new,1,0.000515,299195
gpt_recipe_40_HOM,full,contains_new,2,0.000648,299195
gpt_recipe_40_HOM,full,contains_new,3,0.000668,299195
gpt_recipe_40_HOM,full,contains_new,mean,0.000611,
gpt_recipe_40_HOM,full,no_new,1,0.000300,2196161
gpt_recipe_40_HOM,full,no_new,2,0.000352,2196161
gpt_recipe_40_HOM,full,no_new,3,0.000393,2196161
gpt_recipe_40_HOM,full,no_new,mean,0.000348,
gpt_recipe_40_HOM_HALF,half,contains_new,1,0.000699,288890
gpt_recipe_40_HOM_HALF,half,contains_new,2,0.000737,288890
gpt_recipe_40_HOM_HALF,half,contains_new,3,0.000779,288890
gpt_recipe_40_HOM_HALF,half,contains_new,mean,0.000738,
gpt_recipe_40_HOM_HALF,half,no_new,1,0.000378,2196161
gpt_recipe_40_HOM_HALF,half,no_new,2,0.000421,2196161
gpt_recipe_40_HOM_HALF,half,no_new,3,0.000384,2196161
gpt_recipe_40_HOM_HALF,half,no_new,mean,0.000394,
gpt_recipe_base,base,contains_new,1,0.000819,278553
gpt_recipe_base,base,contains_new,2,0.000707,278553
gpt_recipe_base,base,contains_new,3,0.000571,278553
gpt_recipe_base,base,contains_new,mean,0.000699,
gpt_recipe_base,base,no_new,1,0.000448,2196161
gpt_recipe_base,base,no_new,2,0.000353,2196161
gpt_recipe_base,base,no_new,3,0.000305,2196161
gpt_recipe_base,base,no_new,mean,0.000369,
