model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_50_HOM,full,contains_new,1,0.003047,302615
gpt_tiny_50_HOM,full,contains_new,2,0.002488,302615
gpt_tiny_50_HOM,full,contains_new,3,0.002796,302615
gpt_tiny_50_HOM,full,contains_new,mean,0.002777,
gpt_tiny_50_HOM,full,no_new,1,0.003787,4617144
gpt_tiny_50_HOM,full,no_new,2,0.003239,4617144
gpt_tiny_50_HOM,full,no_new,3,0.003502,4617144
gpt_tiny_50_HOM,full,no_new,mean,0.003509,
gpt_tiny_50_HOM_HALF,half,contains_new,1,0.004021,289016
gpt_tiny_50_HOM_HALF,half,contains_new,2,0.003156,289016
gpt_tiny_50_HOM_HALF,half,contains_new,3,0.002443,289016
gpt_tiny_50_HOM_HALF,half,contains_new,mean,0.003206,
gpt_tiny_50_HOM_HALF,half,no_new,1,0.004741,4617144
gpt_tiny_50_HOM_HALF,half,no_new,2,0.003989,4617144
gpt_tiny_50_HOM_HALF,half,no_new,3,0.003190,4617144
gpt_tiny_50_HOM_HALF,half,no_new,mean,0.003973,
gpt_tiny_base,base,contains_new,1,0.003138,275359
gpt_tiny_base,base,contains_new,2,0.008396,275359
gpt_tiny_base,base,contains_new,3,0.003051,275359
gpt_tiny_base,base,contains_new,mean,0.004862,
gpt_tiny_base,base,no_new,1,0.003792,4617144
gpt_tiny_base,base,no_new,2,0.007517,4617144
gpt_tiny_base,base,no_new,3,0.003528,4617144
gpt_tiny_base,base,no_new,mean,0.004946,
