model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_30_HOM,full,contains_new,1,0.002492,196628
gpt_tiny_30_HOM,full,contains_new,2,0.003346,196628
gpt_tiny_30_HOM,full,contains_new,3,0.003972,196628
gpt_tiny_30_HOM,full,contains_new,mean,0.003270,
gpt_tiny_30_HOM,full,no_new,1,0.003326,4713253
gpt_tiny_30_HOM,full,no_new,2,0.004081,4713253
gpt_tiny_30_HOM,full,no_new,3,0.004432,4713253
gpt_tiny_30_HOM,full,no_new,mean,0.003946,
gpt_tiny_30_HOM_HALF,half,contains_new,1,0.002522,187959
gpt_tiny_30_HOM_HALF,half,contains_new,2,0.003628,187959
gpt_tiny_30_HOM_HALF,half,contains_new,3,0.002852,187959
gpt_tiny_30_HOM_HALF,half,contains_new,mean,0.003001,
gpt_tiny_30_HOM_HALF,half,no_new,1,0.003002,4713253
gpt_tiny_30_HOM_HALF,half,no_new,2,0.004238,4713253
gpt_tiny_30_HOM_HALF,half,no_new,3,0.003632,4713253
gpt_tiny_30_HOM_HALF,half,no_new,mean,0.003624,
gpt_tiny_base,base,contains_new,1,0.003180,179250
gpt_tiny_base,base,contains_new,2,0.007894,179250
gpt_tiny_base,base,contains_new,3,0.003040,179250
gpt_tiny_base,base,contains_new,mean,0.004705,
gpt_tiny_base,base,no_new,1,0.003787,4713253
gpt_tiny_base,base,no_new,2,0.007529,4713253
gpt_tiny_base,base,no_new,3,0.003515,4713253
gpt_tiny_base,base,no_new,mean,0.004943,
