model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_40_HYP,full,contains_new,1,0.006116,228096
gpt_tiny_40_HYP,full,contains_new,2,0.003433,228096
gpt_tiny_40_HYP,full,contains_new,3,0.002872,228096
gpt_tiny_40_HYP,full,contains_new,mean,0.004140,
gpt_tiny_40_HYP,full,no_new,1,0.005841,4689009
gpt_tiny_40_HYP,full,no_new,2,0.004335,4689009
gpt_tiny_40_HYP,full,no_new,3,0.003577,4689009
gpt_tiny_40_HYP,full,no_new,mean,0.004584,
gpt_tiny_40_HYP_HALF,half,contains_new,1,0.004508,215820
gpt_tiny_40_HYP_HALF,half,contains_new,2,0.006343,215820
gpt_tiny_40_HYP_HALF,half,contains_new,3,0.003827,215820
gpt_tiny_40_HYP_HALF,half,contains_new,mean,0.004893,
gpt_tiny_40_HYP_HALF,half,no_new,1,0.005012,4689009
gpt_tiny_40_HYP_HALF,half,no_new,2,0.005985,4689009
gpt_tiny_40_HYP_HALF,half,no_new,3,0.004379,4689009
gpt_tiny_40_HYP_HALF,half,no_new,mean,0.005125,
gpt_tiny_base,base,contains_new,1,0.003209,203494
gpt_tiny_base,base,contains_new,2,0.008688,203494
gpt_tiny_base,base,contains_new,3,0.003312,203494
gpt_tiny_base,base,contains_new,mean,0.005070,
gpt_tiny_base,base,no_new,1,0.003780,4689009
gpt_tiny_base,base,no_new,2,0.007511,4689009
gpt_tiny_base,base,no_new,3,0.003514,4689009
gpt_tiny_base,base,no_new,mean,0.004935,
