word,ambiguity_type,model,nbhd_mean_distance
keg,P,word2vec_recipe_50_HYP,0.27468753
aristocrat,P,word2vec_recipe_50_HYP,0.18069313
novelty,P,word2vec_recipe_50_HYP,0.19209288
pirate,P,word2vec_recipe_50_HYP,0.25418502
gasoline,M,word2vec_recipe_50_HYP,0.1540101
fringe,P,word2vec_recipe_50_HYP,0.22896741
corral,P,word2vec_recipe_50_HYP,0.35392892
gopher,P,word2vec_recipe_50_HYP,0.2489471
substance,P,word2vec_recipe_50_HYP,0.35564098
flannel,P,word2vec_recipe_50_HYP,0.38853535
strap,P,word2vec_recipe_50_HYP,0.28363952
courtesy,P,word2vec_recipe_50_HYP,0.3472293
pitch,H,word2vec_recipe_50_HYP,0.399346
countdown,P,word2vec_recipe_50_HYP,0.31452376
fiend,P,word2vec_recipe_50_HYP,0.17793709
generic,P,word2vec_recipe_50_HYP,0.28989834
marijuana,M,word2vec_recipe_50_HYP,0.2948534
pink,H,word2vec_recipe_50_HYP,0.4940933
perky,M,word2vec_recipe_50_HYP,0.33406013
society,P,word2vec_recipe_50_HYP,0.18163519
fearless,M,word2vec_recipe_50_HYP,0.2052162
lotion,P,word2vec_recipe_50_HYP,0.3129569
hoop,P,word2vec_recipe_50_HYP,0.32684314
cookie,P,word2vec_recipe_50_HYP,0.36812672
etiquette,M,word2vec_recipe_50_HYP,0.15722828
romantic,P,word2vec_recipe_50_HYP,0.2518862
square,P,word2vec_recipe_50_HYP,0.32335472
vibration,P,word2vec_recipe_50_HYP,0.14326335
isolate,P,word2vec_recipe_50_HYP,0.21450157
spacious,P,word2vec_recipe_50_HYP,0.2498348
toilet,P,word2vec_recipe_50_HYP,0.24115577
southwest,P,word2vec_recipe_50_HYP,0.29481727
corpse,M,word2vec_recipe_50_HYP,0.20581377
publisher,P,word2vec_recipe_50_HYP,0.16214454
accompany,P,word2vec_recipe_50_HYP,0.38248727
wildlife,M,word2vec_recipe_50_HYP,0.15982462
louse,P,word2vec_recipe_50_HYP,0.15731765
household,P,word2vec_recipe_50_HYP,0.25459892
lend,P,word2vec_recipe_50_HYP,0.28422868
despise,M,word2vec_recipe_50_HYP,0.09398154
attack,P,word2vec_recipe_50_HYP,0.31701195
cone,P,word2vec_recipe_50_HYP,0.33946213
rope,P,word2vec_recipe_50_HYP,0.32306758
agreement,P,word2vec_recipe_50_HYP,0.3370848
