model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_50_HOM,full,contains_new,1,0.000576,514087
gpt_recipe_50_HOM,full,contains_new,2,0.000484,514087
gpt_recipe_50_HOM,full,contains_new,3,0.000461,514087
gpt_recipe_50_HOM,full,contains_new,mean,0.000507,
gpt_recipe_50_HOM,full,no_new,1,0.000347,1997301
gpt_recipe_50_HOM,full,no_new,2,0.000309,1997301
gpt_recipe_50_HOM,full,no_new,3,0.000336,1997301
gpt_recipe_50_HOM,full,no_new,mean,0.000331,
gpt_recipe_50_HOM_HALF,half,contains_new,1,0.000498,495782
gpt_recipe_50_HOM_HALF,half,contains_new,2,0.000551,495782
gpt_recipe_50_HOM_HALF,half,contains_new,3,0.000450,495782
gpt_recipe_50_HOM_HALF,half,contains_new,mean,0.000500,
gpt_recipe_50_HOM_HALF,half,no_new,1,0.000331,1997301
gpt_recipe_50_HOM_HALF,half,no_new,2,0.000321,1997301
gpt_recipe_50_HOM_HALF,half,no_new,3,0.000312,1997301
gpt_recipe_50_HOM_HALF,half,no_new,mean,0.000322,
gpt_recipe_base,base,contains_new,1,0.000984,477413
gpt_recipe_base,base,contains_new,2,0.000589,477413
gpt_recipe_base,base,contains_new,3,0.000507,477413
gpt_recipe_base,base,contains_new,mean,0.000693,
gpt_recipe_base,base,no_new,1,0.000436,1997301
gpt_recipe_base,base,no_new,2,0.000359,1997301
gpt_recipe_base,base,no_new,3,0.000315,1997301
gpt_recipe_base,base,no_new,mean,0.000370,
