model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_50_HYP,full,contains_new,1,0.000462,506711
gpt_recipe_50_HYP,full,contains_new,2,0.000521,506711
gpt_recipe_50_HYP,full,contains_new,3,0.000487,506711
gpt_recipe_50_HYP,full,contains_new,mean,0.000490,
gpt_recipe_50_HYP,full,no_new,1,0.000329,2002532
gpt_recipe_50_HYP,full,no_new,2,0.000371,2002532
gpt_recipe_50_HYP,full,no_new,3,0.000379,2002532
gpt_recipe_50_HYP,full,no_new,mean,0.000360,
gpt_recipe_50_HYP_HALF,half,contains_new,1,0.000490,489481
gpt_recipe_50_HYP_HALF,half,contains_new,2,0.000568,489481
gpt_recipe_50_HYP_HALF,half,contains_new,3,0.000543,489481
gpt_recipe_50_HYP_HALF,half,contains_new,mean,0.000534,
gpt_recipe_50_HYP_HALF,half,no_new,1,0.000315,2002532
gpt_recipe_50_HYP_HALF,half,no_new,2,0.000341,2002532
gpt_recipe_50_HYP_HALF,half,no_new,3,0.000327,2002532
gpt_recipe_50_HYP_HALF,half,no_new,mean,0.000327,
gpt_recipe_base,base,contains_new,1,0.000968,472182
gpt_recipe_base,base,contains_new,2,0.000589,472182
gpt_recipe_base,base,contains_new,3,0.000500,472182
gpt_recipe_base,base,contains_new,mean,0.000685,
gpt_recipe_base,base,no_new,1,0.000444,2002532
gpt_recipe_base,base,no_new,2,0.000355,2002532
gpt_recipe_base,base,no_new,3,0.000313,2002532
gpt_recipe_base,base,no_new,mean,0.000371,
