model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_40_HYP,full,contains_new,1,0.000535,483838
gpt_recipe_40_HYP,full,contains_new,2,0.000527,483838
gpt_recipe_40_HYP,full,contains_new,3,0.000548,483838
gpt_recipe_40_HYP,full,contains_new,mean,0.000537,
gpt_recipe_40_HYP,full,no_new,1,0.000351,2023950
gpt_recipe_40_HYP,full,no_new,2,0.000421,2023950
gpt_recipe_40_HYP,full,no_new,3,0.000377,2023950
gpt_recipe_40_HYP,full,no_new,mean,0.000383,
gpt_recipe_40_HYP_HALF,half,contains_new,1,0.000601,467337
gpt_recipe_40_HYP_HALF,half,contains_new,2,0.000505,467337
gpt_recipe_40_HYP_HALF,half,contains_new,3,0.000501,467337
gpt_recipe_40_HYP_HALF,half,contains_new,mean,0.000536,
gpt_recipe_40_HYP_HALF,half,no_new,1,0.000398,2023950
gpt_recipe_40_HYP_HALF,half,no_new,2,0.000336,2023950
gpt_recipe_40_HYP_HALF,half,no_new,3,0.000332,2023950
gpt_recipe_40_HYP_HALF,half,no_new,mean,0.000356,
gpt_recipe_base,base,contains_new,1,0.000983,450764
gpt_recipe_base,base,contains_new,2,0.000579,450764
gpt_recipe_base,base,contains_new,3,0.000499,450764
gpt_recipe_base,base,contains_new,mean,0.000687,
gpt_recipe_base,base,no_new,1,0.000430,2023950
gpt_recipe_base,base,no_new,2,0.000352,2023950
gpt_recipe_base,base,no_new,3,0.000303,2023950
gpt_recipe_base,base,no_new,mean,0.000362,
