model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_10_HYP,full,contains_new,1,0.000454,224673
gpt_recipe_10_HYP,full,contains_new,2,0.000374,224673
gpt_recipe_10_HYP,full,contains_new,3,0.000356,224673
gpt_recipe_10_HYP,full,contains_new,mean,0.000395,
gpt_recipe_10_HYP,full,no_new,1,0.000449,2259983
gpt_recipe_10_HYP,full,no_new,2,0.000422,2259983
gpt_recipe_10_HYP,full,no_new,3,0.000385,2259983
gpt_recipe_10_HYP,full,no_new,mean,0.000419,
gpt_recipe_10_HYP_HALF,half,contains_new,1,0.000446,219707
gpt_recipe_10_HYP_HALF,half,contains_new,2,0.000410,219707
gpt_recipe_10_HYP_HALF,half,contains_new,3,0.000314,219707
gpt_recipe_10_HYP_HALF,half,contains_new,mean,0.000390,
gpt_recipe_10_HYP_HALF,half,no_new,1,0.000381,2259983
gpt_recipe_10_HYP_HALF,half,no_new,2,0.000400,2259983
gpt_recipe_10_HYP_HALF,half,no_new,3,0.000393,2259983
gpt_recipe_10_HYP_HALF,half,no_new,mean,0.000391,
gpt_recipe_base,base,contains_new,1,0.001094,214731
gpt_recipe_base,base,contains_new,2,0.000387,214731
gpt_recipe_base,base,contains_new,3,0.000382,214731
gpt_recipe_base,base,contains_new,mean,0.000621,
gpt_recipe_base,base,no_new,1,0.000503,2259983
gpt_recipe_base,base,no_new,2,0.000414,2259983
gpt_recipe_base,base,no_new,3,0.000360,2259983
gpt_recipe_base,base,no_new,mean,0.000426,
