model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_1_HYP,full,contains_new,1,0.000000,877
gpt_recipe_1_HYP,full,contains_new,2,0.000000,877
gpt_recipe_1_HYP,full,contains_new,3,0.001140,877
gpt_recipe_1_HYP,full,contains_new,mean,0.000380,
gpt_recipe_1_HYP,full,no_new,1,0.000353,2473924
gpt_recipe_1_HYP,full,no_new,2,0.000389,2473924
gpt_recipe_1_HYP,full,no_new,3,0.000381,2473924
gpt_recipe_1_HYP,full,no_new,mean,0.000374,
gpt_recipe_1_HYP_HALF,half,contains_new,1,0.001198,835
gpt_recipe_1_HYP_HALF,half,contains_new,2,0.001198,835
gpt_recipe_1_HYP_HALF,half,contains_new,3,0.001198,835
gpt_recipe_1_HYP_HALF,half,contains_new,mean,0.001198,
gpt_recipe_1_HYP_HALF,half,no_new,1,0.000378,2473924
gpt_recipe_1_HYP_HALF,half,no_new,2,0.000488,2473924
gpt_recipe_1_HYP_HALF,half,no_new,3,0.000378,2473924
gpt_recipe_1_HYP_HALF,half,no_new,mean,0.000415,
gpt_recipe_base,base,contains_new,1,0.001266,790
gpt_recipe_base,base,contains_new,2,0.000000,790
gpt_recipe_base,base,contains_new,3,0.000000,790
gpt_recipe_base,base,contains_new,mean,0.000422,
gpt_recipe_base,base,no_new,1,0.000525,2473924
gpt_recipe_base,base,no_new,2,0.000405,2473924
gpt_recipe_base,base,no_new,3,0.000346,2473924
gpt_recipe_base,base,no_new,mean,0.000426,
