model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_20_HOM,full,contains_new,1,0.002744,136645
gpt_tiny_20_HOM,full,contains_new,2,0.003791,136645
gpt_tiny_20_HOM,full,contains_new,3,0.003088,136645
gpt_tiny_20_HOM,full,contains_new,mean,0.003208,
gpt_tiny_20_HOM,full,no_new,1,0.003284,4768160
gpt_tiny_20_HOM,full,no_new,2,0.004473,4768160
gpt_tiny_20_HOM,full,no_new,3,0.003805,4768160
gpt_tiny_20_HOM,full,no_new,mean,0.003854,
gpt_tiny_20_HOM_HALF,half,contains_new,1,0.002758,130509
gpt_tiny_20_HOM_HALF,half,contains_new,2,0.003050,130509
gpt_tiny_20_HOM_HALF,half,contains_new,3,0.003709,130509
gpt_tiny_20_HOM_HALF,half,contains_new,mean,0.003172,
gpt_tiny_20_HOM_HALF,half,no_new,1,0.003513,4768160
gpt_tiny_20_HOM_HALF,half,no_new,2,0.003722,4768160
gpt_tiny_20_HOM_HALF,half,no_new,3,0.004313,4768160
gpt_tiny_20_HOM_HALF,half,no_new,mean,0.003849,
gpt_tiny_base,base,contains_new,1,0.003386,124343
gpt_tiny_base,base,contains_new,2,0.008388,124343
gpt_tiny_base,base,contains_new,3,0.003209,124343
gpt_tiny_base,base,contains_new,mean,0.004994,
gpt_tiny_base,base,no_new,1,0.003775,4768160
gpt_tiny_base,base,no_new,2,0.007519,4768160
gpt_tiny_base,base,no_new,3,0.003515,4768160
gpt_tiny_base,base,no_new,mean,0.004936,
