model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_50_HYP,full,contains_new,1,0.003002,313808
gpt_tiny_50_HYP,full,contains_new,2,0.003206,313808
gpt_tiny_50_HYP,full,contains_new,3,0.002992,313808
gpt_tiny_50_HYP,full,contains_new,mean,0.003067,
gpt_tiny_50_HYP,full,no_new,1,0.003743,4615657
gpt_tiny_50_HYP,full,no_new,2,0.003838,4615657
gpt_tiny_50_HYP,full,no_new,3,0.003815,4615657
gpt_tiny_50_HYP,full,no_new,mean,0.003799,
gpt_tiny_50_HYP_HALF,half,contains_new,1,0.003254,295367
gpt_tiny_50_HYP_HALF,half,contains_new,2,0.003138,295367
gpt_tiny_50_HYP_HALF,half,contains_new,3,0.004703,295367
gpt_tiny_50_HYP_HALF,half,contains_new,mean,0.003698,
gpt_tiny_50_HYP_HALF,half,no_new,1,0.004065,4615657
gpt_tiny_50_HYP_HALF,half,no_new,2,0.003752,4615657
gpt_tiny_50_HYP_HALF,half,no_new,3,0.004957,4615657
gpt_tiny_50_HYP_HALF,half,no_new,mean,0.004258,
gpt_tiny_base,base,contains_new,1,0.003348,276846
gpt_tiny_base,base,contains_new,2,0.008528,276846
gpt_tiny_base,base,contains_new,3,0.003262,276846
gpt_tiny_base,base,contains_new,mean,0.005046,
gpt_tiny_base,base,no_new,1,0.003795,4615657
gpt_tiny_base,base,no_new,2,0.007499,4615657
gpt_tiny_base,base,no_new,3,0.003519,4615657
gpt_tiny_base,base,no_new,mean,0.004938,
