model_name,variant,subset,run,accuracy,n_targets
gpt_recipe_30_HOM,full,contains_new,1,0.000661,177122
gpt_recipe_30_HOM,full,contains_new,2,0.000638,177122
gpt_recipe_30_HOM,full,contains_new,3,0.000706,177122
gpt_recipe_30_HOM,full,contains_new,mean,0.000668,
gpt_recipe_30_HOM,full,no_new,1,0.000371,2307892
gpt_recipe_30_HOM,full,no_new,2,0.000335,2307892
gpt_recipe_30_HOM,full,no_new,3,0.000366,2307892
gpt_recipe_30_HOM,full,no_new,mean,0.000357,
gpt_recipe_30_HOM_HALF,half,contains_new,1,0.000698,171975
gpt_recipe_30_HOM_HALF,half,contains_new,2,0.000675,171975
gpt_recipe_30_HOM_HALF,half,contains_new,3,0.000715,171975
gpt_recipe_30_HOM_HALF,half,contains_new,mean,0.000696,
gpt_recipe_30_HOM_HALF,half,no_new,1,0.000373,2307892
gpt_recipe_30_HOM_HALF,half,no_new,2,0.000368,2307892
gpt_recipe_30_HOM_HALF,half,no_new,3,0.000428,2307892
gpt_recipe_30_HOM_HALF,half,no_new,mean,0.000390,
gpt_recipe_base,base,contains_new,1,0.000995,166822
gpt_recipe_base,base,contains_new,2,0.000869,166822
gpt_recipe_base,base,contains_new,3,0.000617,166822
gpt_recipe_base,base,contains_new,mean,0.000827,
gpt_recipe_base,base,no_new,1,0.000471,2307892
gpt_recipe_base,base,no_new,2,0.000369,2307892
gpt_recipe_base,base,no_new,3,0.000317,2307892
gpt_recipe_base,base,no_new,mean,0.000386,
