model_name,variant,subset,run,accuracy,n_targets
gpt_tiny_20_HYP,full,contains_new,1,0.003629,114091
gpt_tiny_20_HYP,full,contains_new,2,0.003225,114091
gpt_tiny_20_HYP,full,contains_new,3,0.004952,114091
gpt_tiny_20_HYP,full,contains_new,mean,0.003935,
gpt_tiny_20_HYP,full,no_new,1,0.004096,4789314
gpt_tiny_20_HYP,full,no_new,2,0.003525,4789314
gpt_tiny_20_HYP,full,no_new,3,0.004783,4789314
gpt_tiny_20_HYP,full,no_new,mean,0.004135,
gpt_tiny_20_HYP_HALF,half,contains_new,1,0.003424,108656
gpt_tiny_20_HYP_HALF,half,contains_new,2,0.003313,108656
gpt_tiny_20_HYP_HALF,half,contains_new,3,0.004335,108656
gpt_tiny_20_HYP_HALF,half,contains_new,mean,0.003691,
gpt_tiny_20_HYP_HALF,half,no_new,1,0.003670,4789314
gpt_tiny_20_HYP_HALF,half,no_new,2,0.003440,4789314
gpt_tiny_20_HYP_HALF,half,no_new,3,0.004390,4789314
gpt_tiny_20_HYP_HALF,half,no_new,mean,0.003833,
gpt_tiny_base,base,contains_new,1,0.003460,103189
gpt_tiny_base,base,contains_new,2,0.008799,103189
gpt_tiny_base,base,contains_new,3,0.003334,103189
gpt_tiny_base,base,contains_new,mean,0.005198,
gpt_tiny_base,base,no_new,1,0.003760,4789314
gpt_tiny_base,base,no_new,2,0.007537,4789314
gpt_tiny_base,base,no_new,3,0.003496,4789314
gpt_tiny_base,base,no_new,mean,0.004931,
